,no_internet,population,unemp,health_ins,poverty,SNAP,broad_num,broad_avail,broad_cost,all25_bbn
"Sullivan County, Indiana",33.8,20669,4.3,11.6,13.1,13.7,2,73.6,57.98,5.849981876
"Switzerland County, Indiana",29.7,10751,3.3,11.4,20.1,11.1,4,97.4,59.24,3.590016038
"Tippecanoe County, Indiana",17.3,195732,2.9,9,20.6,8.7,4,77.2,78.31,8.327252568
"Tipton County, Indiana",24.3,15148,2.7,6.1,8.1,6.5,6,93.9,61.32,8.214251846
"Union County, Indiana",32,7054,3.3,8.6,8.8,7.9,4,54.1,58.97,3.912074875
"Vanderburgh County, Indiana",21.8,181451,3.1,8.2,17.3,12.1,2,49.9,55,7.345317959
"Vermillion County, Indiana",22.1,15498,5.2,7,15.2,13.2,3,48.1,46.5,4.800301243
"Vigo County, Indiana",22.7,107038,4.3,8.5,18.8,14.7,8,96,58.32,5.200581034
"Wabash County, Indiana",26.9,30996,3.1,7.7,12.7,8.7,1,63.5,89.8,6.061175045
"Warren County, Indiana",22.8,8265,3,4.4,10.4,9.1,2,82,70,6.736905721
"Warrick County, Indiana",16.7,62998,2.9,5.5,7.6,5.9,8,92.5,61.97,5.962549016
"Washington County, Indiana",32.4,28036,3.3,9.5,13.1,13,2,59.1,55,8.71061069
"Wayne County, Indiana",30.2,65884,3.6,12,16.3,14.9,4,79.1,58.25,7.480739022
"Wells County, Indiana",24.1,28296,2.7,6.8,9.5,8.8,2,66.9,57.98,7.901891468
"White County, Indiana",22.7,24102,2.7,9.3,8.7,8.5,6,71.8,66.65,7.409924845
"Whitley County, Indiana",20.8,33964,2.9,6.2,9.2,6.3,1,42.6,66.25,7.596503595
"Adair County, Iowa",26.7,7152,2.4,6.3,9.1,11.8,2,77.6,58.65,7.673443294
"Adams County, Iowa",26.7,3602,1.7,5.5,11.5,8.8,2,69.9,74.99,7.47173913
"Allamakee County, Iowa",28.8,13687,3.5,7.5,9.5,9.8,2,83.8,58.99,8.699654542
"Appanoose County, Iowa",31.6,12426,3.6,6.9,16.1,16.1,7,96.3,75.32,6.86265196
"Audubon County, Iowa",28.4,5496,2.5,5.4,10.2,8.6,2,84.6,59.99,10.04329754
"Benton County, Iowa",21.8,25645,3,2.7,9.2,7.3,5,96.6,67.59,8.758944692
"Black Hawk County, Iowa",20.4,131228,3.2,5.6,16,13,4,85,62.97,10.12240858
"Boone County, Iowa",20.8,26234,2.4,3.1,8,9.8,6,84,67.48,12.79053171
"Bremer County, Iowa",19.4,25062,2.3,3.2,8.2,5.4,7,95.9,65,10.5620058
"Buchanan County, Iowa",21.9,21175,2.8,5.2,9.5,9.9,6,90.2,103.32,9.941468538
"Buena Vista County, Iowa",20.5,19620,2.1,9.7,13,13.1,3,10.2,70,9.6978933
"Butler County, Iowa",25.4,14439,3.2,3.2,9.4,7.4,5,84,63.31,6.726404818
"Calhoun County, Iowa",23.3,9668,2.6,3.3,13.3,9.4,10,85.6,61.35,9.009773434
"Carroll County, Iowa",22.5,20165,1.9,2.5,8.8,8,8,56.7,59.16,9.38386424
"Cass County, Iowa",27.1,12836,2.8,4.8,11.6,14.6,5,63.2,65.24,10.02613121
"Cedar County, Iowa",19.6,18627,2.5,2.2,6.4,5.2,5,73.2,63.97,8.874314898
"Cerro Gordo County, Iowa",23,42450,2.7,5.6,11.4,12,6,95.3,64.98,14.05771507
"Cherokee County, Iowa",18.8,11235,2.5,4.3,9.7,11.2,2,74.8,57.5,7.951079812
"Chickasaw County, Iowa",23.6,11933,2.9,4.9,7.4,6.7,10,74.6,59.85,9.058608059
"Clarke County, Iowa",23.4,9395,2.9,5.9,14.4,14.2,2,0.7,61.19,7.064288157
"Clay County, Iowa",21.6,16016,2.8,3.7,12.1,12.5,4,65.9,63.7,14.26487536
"Clayton County, Iowa",27.1,17549,3.7,6.2,9,9.9,8,92.9,59.98,6.227854985
"Clinton County, Iowa",23.4,46429,3.7,4.1,12.3,13.4,3,63.7,68.97,7.525086207
"Crawford County, Iowa",25.6,16820,3.6,8.1,15.8,11.5,5,80.5,59.98,6.480002903
"Dallas County, Iowa",11.6,93453,2,3,5.9,6.2,5,92.1,66.66,7.702245599
"Davis County, Iowa",36.6,9000,2.9,26,12.3,10.2,3,71,61.24,7
"Decatur County, Iowa",29.6,7870,2.2,9.4,19.6,17.1,5,83.5,56.64,5.305024229
"Delaware County, Iowa",22.7,17011,2.4,2.9,8.5,6.2,2,77.6,68.31,9.356168917
"Des Moines County, Iowa",24.6,38967,4,5.3,15.4,16.2,6,98.3,61.98,7.317188601
"Dickinson County, Iowa",18.4,17258,2.9,4.2,8,6.3,5,61,65.24,9.715083128
"Dubuque County, Iowa",18.2,97311,2.6,3.8,11.7,9.7,5,39.1,62.49,9.042782726
"Emmet County, Iowa",26.6,9208,2.6,7.1,12.1,12.1,5,77.3,63.31,7.862813719
"Fayette County, Iowa",24.5,19650,3.6,5.5,12.4,12.4,2,71.4,63.19,9.263512707
"Floyd County, Iowa",26.1,15642,3.6,8.9,15.7,13.2,10,85.3,64.98,7.504123711
"Franklin County, Iowa",30.7,10070,2.3,4.2,12.8,10.8,6,79.7,57.99,7.500908471
"Fremont County, Iowa",23.2,6960,2.8,5,9.5,10.8,9,97,60.98,7.163190184
"Greene County, Iowa",24.8,8888,2.4,3.6,8.9,14.5,8,99.2,69,7.875672766
"Grundy County, Iowa",19.9,12232,2.8,2.3,6.1,5.9,2,82.1,66.64,6.102075154
"Guthrie County, Iowa",24.2,10689,3,3.9,11.1,8.7,12,97.3,60.1,8.839625191
"Hamilton County, Iowa",24.7,14773,2.9,4.2,9.7,8.5,9,92.3,66.24,8.809545455
"Hancock County, Iowa",24.5,10630,2.4,3.3,8.1,5.6,5,91.5,61.25,7.136221662
"Hardin County, Iowa",27.3,16846,3.2,3.9,7.9,6.7,7,78.5,74.99,8.828973527
"Harrison County, Iowa",27.1,14049,2.4,5.1,10.1,10.7,5,77,59.26,7.288858788
"Henry County, Iowa",24.5,19954,2.7,4.1,10.8,11.4,7,77.4,79.99,9.305866329
"Howard County, Iowa",25.5,9158,2.8,4.1,11.9,7.9,4,77.4,63.98,8.793495935
"Humboldt County, Iowa",24.2,9558,2.7,4.1,11.7,11.6,2,69.3,59.97,8.563341426
"Ida County, Iowa",24.4,6860,2,3.5,10.5,11.4,2,66.5,63.31,5.037806101
"Iowa County, Iowa",24.1,16184,2.2,5.6,8.2,4.4,10,97.6,57.49,8.272351955
"Jackson County, Iowa",23.9,19439,3.2,4.5,12.4,11.3,4,86.4,59.18,11.1266637
"Jasper County, Iowa",22.5,37185,2.9,3.6,9.8,13.4,5,82.5,59.97,7.290614851
"Jefferson County, Iowa",21.9,18295,2.4,4.6,14.2,14.3,4,37.5,62.47,9.394673866
"Johnson County, Iowa",11.9,151140,2,5.5,17.8,7.3,6,98.8,66.66,9.43239397
"Jones County, Iowa",24.6,20681,3.2,3.8,10.1,8.1,8,90.5,64.75,11.56971491
"Keokuk County, Iowa",25.6,10246,3.3,3.8,10.4,11.4,5,79.5,63.32,5.787666213
"Kossuth County, Iowa",24,14813,2.2,5.3,9.8,9,6,88.7,71.25,10.92285907
"Lee County, Iowa",27,33657,3.9,4.6,15.2,15.9,6,98.7,59.76,7.209460614
"Linn County, Iowa",16.6,226706,2.9,3.8,9.5,10.1,6,68.8,62.47,13.52440994
"Louisa County, Iowa",23.1,11035,3.1,4.7,11.1,10.1,3,61.3,63.99,7.072047467
"Lucas County, Iowa",25.2,8600,2.1,4.2,11.9,11.9,5,65.2,57.47,6.459935707
"Lyon County, Iowa",19.1,11755,1.6,4.5,4.9,5.5,7,94.3,57.85,6.690895253
"Madison County, Iowa",19.7,16338,3.6,3.4,6.7,7.5,7,62.4,63.18,8.146415932
"Mahaska County, Iowa",21,22095,2.5,4.2,14.4,14.5,7,87.9,62.62,5.763773857
"Marion County, Iowa",23.1,33253,2.1,3.5,9.7,11.7,7,87,71.66,7.090161931
"Marshall County, Iowa",25.7,39369,4.5,6.5,10.9,11.9,5,73.2,61.65,7.257158914
"Mills County, Iowa",18.1,15109,2.3,4.6,8.6,8,4,67.1,74.97,6.033614658
"Mitchell County, Iowa",23,10586,1.7,7.6,9,4.5,3,67,57.74,8.20503499
"Monona County, Iowa",25.2,8615,3,5.9,15.7,14.9,7,79.6,61,4.27665921
"Monroe County, Iowa",28,7707,3.1,7.5,11.7,12.9,5,56.9,54.98,6
"Montgomery County, Iowa",22.9,9917,2.7,3.7,16.1,17.3,2,81.2,64.98,8.091085714
"Muscatine County, Iowa",23.3,42664,2.9,3.8,10.3,8.4,2,60,61.63,10.37417599
"O'Brien County, Iowa",22.9,13753,2.2,4.6,9.7,10.3,4,97.6,66.66,9.620293247
"Osceola County, Iowa",19,5958,1.9,5.4,12,9.7,5,78.1,65.99,10.75823529
"Page County, Iowa",22.4,15107,2.6,4.9,11.6,10.9,5,55.2,79.99,8.453337136
"Palo Alto County, Iowa",23.5,8886,2.2,5,6.6,8.9,5,73.8,59.32,9.086639852
"Plymouth County, Iowa",17.4,25177,2.2,4.3,9,6.5,5,65.3,69.99,7.22329888
"Pocahontas County, Iowa",22.7,6619,1.9,4.7,12.3,12,4,57.8,74.97,9.138888889
"Polk County, Iowa",16,490161,2.8,5.1,11.1,12.7,3,55.8,70.24,7.226469669
"Pottawattamie County, Iowa",23.1,93206,2.4,6.3,11.1,12.6,2,78.5,66.24,9.525755047
"Poweshiek County, Iowa",21.6,18504,2.7,6,10,9.8,6,77.4,65.85,7.080930571
"Ringgold County, Iowa",27.1,4894,2.9,5.8,10.1,11,4,54.8,65.99,6.637448259
"Sac County, Iowa",22.8,9721,2.4,5,10.6,7.8,7,94.6,62.49,5.842331581
"Scott County, Iowa",20.4,172943,3.3,4.9,12.1,10.1,3,71.2,70,10.09030044
"Shelby County, Iowa",23.5,11454,2.1,5.1,8.7,10.5,3,74.4,74.95,9.463146531
"Sioux County, Iowa",13.9,34855,1.9,4.2,6.8,5.6,4,56.5,61,6.239294258
"Story County, Iowa",18.8,97117,1.9,4.6,21.5,6.3,4,40.3,69.97,10.80315991
"Tama County, Iowa",24.7,16854,3.1,5.8,12.1,8.7,4,90.4,62.26,9.434800092
"Taylor County, Iowa",28.5,6121,1.9,7.1,10.4,10,8,80.4,63.19,5.717261291
"Union County, Iowa",25.3,12241,3.2,6.7,14.3,12,2,49.5,69.99,8.094219248
"Van Buren County, Iowa",34.7,7044,2.7,12.5,13.1,11.5,6,99,65,4.526583999
"Wapello County, Iowa",25.7,34969,3.7,6,15.5,18.8,2,74.1,65,10.38542351
"Warren County, Iowa",17.2,51466,2.5,2.9,6.9,8.7,2,94.1,62.5,7.195038644
"Washington County, Iowa",22.9,21965,2.5,8.5,9.3,8.6,5,66.4,63.31,8.278948004
"Wayne County, Iowa",30.3,6441,2.6,12.3,15.2,12.7,2,24.2,70,5.128343949
"Webster County, Iowa",24.5,35904,3.1,5.1,15.3,13.2,3,83.3,61.24,9.878162106
"Winnebago County, Iowa",23,10354,2.8,2.7,8.4,6.8,4,94.1,62.96,7.595513374
"Winneshiek County, Iowa",20.5,19991,2.9,1.8,8.6,5.1,2,83.1,66.64,9.592548871
"Woodbury County, Iowa",23.5,103107,2.7,6.9,13.2,13.7,6,72.8,71.32,7.254456487
"Worth County, Iowa",25.7,7381,2.8,4.9,9.3,10.1,5,85,79.99,5.525635739
"Wright County, Iowa",30.1,12562,2.6,5.4,12.8,12.1,4,72.2,79.99,7.196938542
"Allen County, Kansas",26.4,12369,3.5,5.8,16.5,11,7,81.3,62.75,7.700263257
"Anderson County, Kansas",31.1,7858,3.3,9.5,13.9,7.3,3,23.8,45.5,5.683673469
"Atchison County, Kansas",27.8,16073,5.2,7.2,17.6,11.7,4,77.5,47.98,8.215669654
"Barber County, Kansas",25.5,4427,2.5,12.2,15.6,8.4,4,85.4,61.59,3.360061287
"Barton County, Kansas",26.3,25779,3.1,11.5,16.7,8.5,6,92.2,61.52,4.89919221
"Bourbon County, Kansas",32.2,14534,4.2,10.7,16.6,12,2,75.4,53.66,7.691525424
"Brown County, Kansas",26.2,9564,3.2,8,14.2,9.8,4,74.4,71.97,5.042257742
"Butler County, Kansas",19.1,66911,3.2,8.2,10.5,7.4,7,72.8,57.66,7.923161959
"Chase County, Kansas",29.3,2648,2.8,8.9,12.6,8.9,2,7.5,51.25,3.950214592
"Chautauqua County, Kansas",38.1,3250,3.9,13.1,17,12.8,1,16.8,60,3.25634058
"Cherokee County, Kansas",29,19939,3.4,12.5,13.8,11.7,6,87.2,61.5,8.383897316
"Cheyenne County, Kansas",22.8,2657,2.4,7.5,9.5,1.7,3,7.7,60.02,5
"Clark County, Kansas",34,1994,2.3,8.5,11,5.8,1,43.4,60,2.508189263
"Clay County, Kansas",30.3,8002,3.2,5.9,7.7,5.5,2,92.8,58.65,7.160386713
"Cloud County, Kansas",31.2,8786,3.2,9.4,12.1,8,3,93.2,63.97,5.532436011
"Coffey County, Kansas",20.3,8179,4.5,8.3,11.9,8.4,4,64,58.66,7.71058288
"Comanche County, Kansas",23.9,1700,2.6,9.3,6.2,1.5,2,65.5,98.98,4.60260771
"Cowley County, Kansas",26.7,34908,3.4,9.7,15.2,14.4,3,84.1,67.19,5.476788443
"Crawford County, Kansas",23.6,38818,3.9,10.9,20.9,11.5,5,89.2,63.66,9.001155776
"Decatur County, Kansas",22.7,2827,3,10.5,18.6,8.6,1,52.9,57.65,6.298220641
"Dickinson County, Kansas",26.1,18466,3.6,7.4,12.5,10,5,77.5,50.33,7.313473149
"Doniphan County, Kansas",33.3,7600,3.4,9.9,14.6,9.5,4,82.5,53.72,4.880860876
"Douglas County, Kansas",13.6,122259,2.9,7.7,18.7,6.1,8,92.1,57.19,9.050062105
"Edwards County, Kansas",33.1,2798,2.6,7.2,8.5,8.1,4,72.3,58.65,4
"Elk County, Kansas",34.6,2530,3.7,9.7,14.6,11.7,1,62.6,82.5,4.763083849
"Ellis County, Kansas",19.8,28553,2.3,6.4,16,6.2,3,98.9,59.77,5.968984633
"Ellsworth County, Kansas",26.1,6102,2.8,5.4,11,6.2,4,64.6,75.97,5.376680879
"Finney County, Kansas",22.4,36467,2.3,12.9,14.8,10.4,2,83.1,71.19,5.915621156
"Ford County, Kansas",24,33619,2.5,14,14.4,9.5,2,82.1,84.2,3.964625601
"Franklin County, Kansas",30.6,25544,3.3,7.1,10.3,9,6,62.9,48.2,8.310895903
"Geary County, Kansas",17.3,31670,4.4,6.7,12.2,6.8,8,87.2,61.99,9.766644369
"Gove County, Kansas",23.4,2636,2.1,10.8,11.8,4.5,2,74.7,63.49,4
"Graham County, Kansas",22,2482,3.1,7.5,9.6,6.8,1,98.8,62.95,3
"Grant County, Kansas",20.5,7150,2.9,18.1,8.8,4.6,2,100,78.66,5
"Gray County, Kansas",22.5,5988,2,12.6,6,2.5,1,57.9,70.25,3.156390717
"Greeley County, Kansas",21.7,1232,2.3,5.8,8.5,5.1,1,60.9,79.99,4
"Greenwood County, Kansas",34.4,5982,3.2,8.4,12.2,11.4,3,67.8,56.49,6.137764933
"Hamilton County, Kansas",26.9,2539,1.9,21.3,11.2,4.8,2,100,84.99,5
"Harper County, Kansas",27.5,5436,2.5,11.5,16.1,9.3,3,60.1,69.65,4.736674903
"Harvey County, Kansas",20.4,34429,2.9,8.9,11.2,5.7,3,84.8,63.66,7.712286586
"Haskell County, Kansas",23.8,3968,2.3,18.8,12.7,2.8,3,72,77,5
"Hodgeman County, Kansas",21,1794,2.4,9.6,11.6,3.8,1,44.9,86.24,5
"Jackson County, Kansas",22,13171,2.9,5.2,10,6.8,7,46,61.95,7.459006672
"Jefferson County, Kansas",21.7,19043,3.1,7.2,8,6.3,5,57.5,60.98,6.801407879
"Jewell County, Kansas",33.1,2879,2.8,6.8,15.9,6.7,3,89.9,57.22,5.880791506
"Johnson County, Kansas",8.4,602401,2.8,6,5.6,3.2,12,99.4,67.61,12.91103648
"Kearny County, Kansas",26,3838,2.3,12.3,19.9,9.3,2,99.5,74.99,6
"Kingman County, Kansas",28.1,7152,3.2,6.9,7.7,4.4,5,59.4,80.72,5.552373022
"Kiowa County, Kansas",27.8,2475,2.3,9.5,8.3,7.7,1,36.3,68.22,4
"Labette County, Kansas",26,19618,4,10.2,17.9,9.6,6,68.1,63,7.254230769
"Lane County, Kansas",18.2,1535,2.6,10.7,12.8,7,1,97.9,65,4
"Leavenworth County, Kansas",18.7,81758,3.4,4.5,8.9,7.1,7,82.8,57.32,8.706450247
"Lincoln County, Kansas",28.2,2962,2.3,10,9.2,5.5,1,27.5,56.47,4
"Linn County, Kansas",41.7,9703,5.9,11,16.5,8.3,4,53,83.75,7.380496669
"Lyon County, Kansas",19.8,33195,3.4,9.1,17.3,9.5,3,78.5,55.85,10.40712946
"McPherson County, Kansas",21.1,28542,2.2,6.7,9.9,6,5,68.5,49,7.33034966
"Marion County, Kansas",27.1,11884,3,6,9.3,4.2,2,42.8,55.17,6.302125215
"Marshall County, Kansas",26.5,9707,2.9,7,9.4,5.7,7,76.9,57,4.054736842
"Miami County, Kansas",26.1,34237,3.3,5.1,7.7,8.2,7,65.5,70.85,10.52215952
"Mitchell County, Kansas",22.6,5979,2.4,7.5,16.3,4.5,3,90.5,57.77,6.784351145
"Montgomery County, Kansas",26.8,31829,4.1,11.2,18.3,15.4,2,75.5,61.5,6.831585098
"Morris County, Kansas",21.9,5620,2.7,9.1,9.4,5.7,1,96.9,50.33,3.910917496
"Morton County, Kansas",29.4,2587,2.9,13.5,7.4,1.7,3,100,102.32,5.794656726
"Nemaha County, Kansas",25,10231,2.8,5.5,10,3.8,3,64.3,62.96,3.480497925
"Neosho County, Kansas",30.7,16007,4.6,11.5,17.5,13.1,4,70.5,60.25,7.226451691
"Ness County, Kansas",27.4,2750,2.5,7.3,7.5,3.4,1,75.7,58.32,3
"Norton County, Kansas",21.5,5361,2.2,8.3,12.7,7,1,88.4,57.65,3.888753056
"Osage County, Kansas",23.3,15949,3.6,10,12.7,8.1,2,58.9,63,6.626012731
"Osborne County, Kansas",26.8,3421,2,9.4,13.4,6.4,4,98,55.7,4.914138817
"Ottawa County, Kansas",29.6,5704,2.7,7.4,10.4,5.4,2,59.4,55.31,6.473175781
"Pawnee County, Kansas",30.9,6414,2.9,10.8,8.7,5.3,2,69.7,56.47,4
"Phillips County, Kansas",19.5,5234,2.6,5.5,9.7,6.5,1,75.7,61.48,3
"Pottawatomie County, Kansas",16.9,24383,2.8,5.1,9.7,7.1,7,95.3,56.34,6.10735446
"Pratt County, Kansas",26.2,9164,2.5,7.5,11.6,5.5,3,80.6,71.99,4.85387916
"Rawlins County, Kansas",21.1,2530,2.2,5.7,9.2,4.3,3,50.5,61.99,2.949095499
"Reno County, Kansas",21.7,61998,3.2,8.7,13.3,12.1,4,79.9,55.25,8.509931352
"Republic County, Kansas",32.5,4636,2.6,3.9,10.7,6.1,2,66.6,63.21,4.978182752
"Rice County, Kansas",23.6,9537,2.8,9.1,16.9,8.8,5,80.9,70.14,6.534741144
"Riley County, Kansas",13,74232,2.8,5.7,21.6,5.8,10,86.1,57.61,10.82766612
"Rooks County, Kansas",26.1,4920,3.5,8.8,8,5.5,1,86.9,57.63,3.57384244
"Rush County, Kansas",27.7,3036,2.8,7.6,9.8,9.4,2,82,54.57,3.75931677
"Russell County, Kansas",22.3,6856,2.9,8.1,6.4,4.8,6,98.7,71.46,5.884870744
"Saline County, Kansas",21.7,54224,3,9.3,12.2,9.5,3,87.4,62.22,9.588971068
"Scott County, Kansas",13.3,4823,1.9,5.8,2.3,3.2,2,71,67.75,7
"Sedgwick County, Kansas",20.2,516042,3.5,10.9,14,10.6,4,95,58.59,8.197453279
"Seward County, Kansas",22.5,21428,3.1,17.6,16.7,7.6,1,57.5,60.25,5
"Shawnee County, Kansas",27,176875,3.3,7.8,12.8,9,4,93.3,71.37,8.296777688
"Sheridan County, Kansas",22.4,2521,2.2,10.5,5.1,5.6,2,76.4,62.65,4
"Smith County, Kansas",21.2,3583,2.5,7.2,12.8,7.1,1,89.3,61.48,3
"Stafford County, Kansas",28.8,4156,2.7,9.3,14,8.1,3,31.4,60.14,5.359264498
"Stanton County, Kansas",31.1,2006,2.5,11.3,14.7,1.6,2,100,84.99,4
"Stevens County, Kansas",27.6,5485,2.6,16.4,18.1,7.1,2,98.9,78.66,4.12475839
"Sumner County, Kansas",25.3,22836,3.4,8.6,12.4,10.4,5,99.9,72.16,5.171326295
"Thomas County, Kansas",14.5,7777,2.3,6.8,11.1,6.5,3,90.6,63.49,4.924630262
"Trego County, Kansas",14,2803,2.8,9.8,7.6,3.2,3,87.2,56.45,5
"Wabaunsee County, Kansas",22.7,6931,3.2,6.1,5.7,4.4,2,32.4,48.97,5.06360593
"Wallace County, Kansas",22.4,1518,2.6,7.7,11.7,6.5,2,48.8,72.5,3.779141104
"Washington County, Kansas",30.5,5406,2.6,4.7,13,4.4,3,58.7,60.97,4.206810036
"Wichita County, Kansas",23.5,2119,2,5.4,4.4,4.4,1,63.1,72.5,5
"Wilson County, Kansas",36.2,8525,4,8,14.4,11.8,5,42.5,51.5,5.569007264
"Woodson County, Kansas",37.5,3138,4.2,14.8,22,15.9,2,48.7,62,5.09643436
"Wyandotte County, Kansas",27.8,165429,4.3,18.5,20.1,15.4,7,99.8,68.08,9.598788337
"Adair County, Kentucky",32.2,19202,5.3,6.9,21.6,17,4,77.7,66.65,7.722907022
"Allen County, Kentucky",33.2,21315,4.2,7.7,19.1,12.1,3,99,62.49,8.176888418
"Anderson County, Kentucky",24.7,22747,3.7,4,13.9,11,4,81.4,70.74,10
"Ballard County, Kentucky",28.8,7888,5.7,9.5,17,13.1,3,100,67.99,3.956817804
"Barren County, Kentucky",22.9,44249,4.5,7.9,23.9,16.7,5,83.1,75,7.610228594
"Bath County, Kentucky",30.4,12500,6.2,7.5,21,23.2,3,82.1,70.72,6.897694524
"Bell County, Kentucky",39.3,26032,6.4,5.4,37.1,35.4,4,98.6,70.74,4.867499025
"Boone County, Kentucky",10.4,133581,3.4,4.6,7.1,6.2,3,99.4,49.99,5
"Bourbon County, Kentucky",30.9,19788,3.8,7.8,17.7,14,6,80.5,70.74,9.872476089
"Boyd County, Kentucky",22,46718,5.7,6.2,19.1,17.3,4,95.8,62.72,7.314419388
"Boyle County, Kentucky",24.5,30060,4.7,4.7,14.4,14.5,4,84.9,70.74,6.486600894
"Bracken County, Kentucky",31.8,8303,4.9,5.4,19.1,15.3,1,78,59.99,6.492061597
"Breathitt County, Kentucky",38.8,12630,7.5,4,35.5,35.5,5,61.2,67.47,3.957892928
"Breckinridge County, Kentucky",29.8,20477,5.3,7.9,17.5,16.8,5,85.3,68.22,4.834540798
"Bullitt County, Kentucky",18,81676,4.1,4,10.6,9.1,6,99.3,75.73,8.423681315
"Butler County, Kentucky",35.4,12879,4.8,8.9,19.4,14.5,3,53.6,74.58,5.879674061
"Caldwell County, Kentucky",26.2,12747,5,5.8,15.9,15.4,2,76.6,74.31,4
"Calloway County, Kentucky",22.7,39001,4.1,5.8,22.8,10,6,98.4,73.61,10.02844227
"Campbell County, Kentucky",18.9,93584,3.5,4.6,13.8,8.2,6,99.3,57.49,5.694658856
"Carlisle County, Kentucky",28,4760,4.2,4.7,18.6,11.6,3,94.4,89.9,5.358558559
"Carroll County, Kentucky",37.5,10631,4,7.8,25.7,19.6,2,75.1,65.73,4.70836197
"Carter County, Kentucky",40.4,26797,8.3,7.9,25.9,23.1,3,78.2,56.23,6.474511931
"Casey County, Kentucky",33,16159,4.2,9.8,26.6,23.5,4,92.3,59.97,6
"Christian County, Kentucky",27,70461,5.6,8.5,20.2,17.5,7,90.4,72.59,9.258980775
"Clark County, Kentucky",24.7,36263,3.9,5.7,15.6,14.9,5,83.4,70.48,10
"Clay County, Kentucky",30.1,19901,7,8.1,38.6,35.2,3,94.6,52.97,5.919141514
"Clinton County, Kentucky",44.6,10218,5.5,8.5,23,24.9,2,93.9,60,5.962304272
"Crittenden County, Kentucky",38.7,8806,4.9,10.3,16.4,10.3,3,67.8,72.22,3.990239887
"Cumberland County, Kentucky",36.2,6614,4.2,10.6,21.5,16.1,3,70.2,49.95,6
"Daviess County, Kentucky",20.4,101511,3.9,4.5,16.1,11.2,5,93.6,70.74,6.068905034
"Edmonson County, Kentucky",24.9,12150,4.9,4.8,18.8,16,3,86.9,70,4.99439528
"Elliott County, Kentucky",36.8,7517,8.2,5.2,30.3,31.3,3,15.2,64.97,4
"Estill County, Kentucky",35.3,14106,5,5.6,32.7,27.6,3,97,66.36,7
"Fayette County, Kentucky",15.5,323152,3.3,7.3,17.8,10.4,4,99.7,62.23,6.187752765
"Fleming County, Kentucky",29.2,14581,5.4,9.9,17.8,20.5,2,82.2,69.99,5.805951978
"Floyd County, Kentucky",31.8,35589,6.4,6.6,31.7,30.2,6,91.1,68.04,4.364815865
"Franklin County, Kentucky",20.6,50991,3.7,8.1,12.3,10.8,6,97.6,67.82,11.92612137
"Fulton County, Kentucky",38.5,5969,5.7,5.6,29.8,25.6,3,68.6,74.31,6.173918559
"Gallatin County, Kentucky",34,8869,4,9.2,15.1,11.4,4,74.2,49.99,5.450873786
"Garrard County, Kentucky",24.8,17666,4.6,7.5,16.7,17.4,2,88.6,65,6
"Grant County, Kentucky",32.2,25069,4.1,6.2,18.2,16.3,6,94.2,55.98,6.418669165
"Graves County, Kentucky",30.3,37266,4.6,6.9,17.7,13,7,95,75.47,8.630707568
"Grayson County, Kentucky",35.1,26427,5,5.4,25.3,19,4,90.3,69.8,7.502965642
"Green County, Kentucky",34.2,10941,4.4,4.8,18.2,18,4,84.5,75,8.417397168
"Greenup County, Kentucky",21.8,35098,6.6,5.7,15.9,14.8,3,93.1,71.96,6.098672581
"Hancock County, Kentucky",24.1,8722,3.8,4.1,12.8,12.1,2,21.2,72.97,3.444636878
"Hardin County, Kentucky",22.4,110958,4.1,5.1,13.9,12.3,7,100,67.15,7.522370066
"Harlan County, Kentucky",36.5,26010,9.6,6.4,36.2,30.7,8,85.9,74.37,5.870384658
"Harrison County, Kentucky",33.1,18886,4.3,7.7,17.2,14.4,3,47.4,60.58,8.552377892
"Hart County, Kentucky",32.2,19035,4.7,8.9,21.4,18.8,4,91.1,70,5.137888957
"Henderson County, Kentucky",27.1,45210,3.8,4.9,18.6,15.2,5,94.5,74.31,6.691646919
"Henry County, Kentucky",31.6,16126,3.7,8.4,19.2,17.6,3,66.6,74.31,5.08313831
"Hickman County, Kentucky",39.4,4380,4.8,4.7,15.4,11.9,3,38.2,80.95,6
"Hopkins County, Kentucky",29.4,44686,4.6,7.8,17.9,14.6,4,87.1,75.73,5.315113306
"Jackson County, Kentucky",33.8,13329,6.5,4.1,30.4,28.1,2,100,35.95,3.770316982
"Jefferson County, Kentucky",19.3,766757,4,5.5,14.8,12.6,7,100,65.98,8.189179144
"Jessamine County, Kentucky",17.7,54115,3.6,6.7,17.7,16.3,4,98.1,69.99,7.534968173
"Johnson County, Kentucky",26,22188,6.6,4.1,22.9,27,4,85.3,64.58,5.384187265
"Kenton County, Kentucky",16.4,166998,3.6,5.9,12.6,11.1,3,99.5,57.49,4.978375541
"Knott County, Kentucky",35.6,14806,6.9,6.3,33.2,35.3,6,97.8,64.97,4.680961663
"Knox County, Kentucky",46.7,31145,6,6.6,33.3,31.6,6,82.4,64.59,5.907132708
"Larue County, Kentucky",30,14398,4.5,5.9,15.5,19.8,5,86.9,74.59,6.692457232
"Laurel County, Kentucky",26.4,60813,4.9,6,23.7,21,3,98.4,66.48,5.855819998
"Lawrence County, Kentucky",35.6,15317,7.1,9.1,26.7,24,3,100,62.58,4.850612923
"Lee County, Kentucky",45.8,7403,5.7,3.1,33.5,34.9,3,51.5,61.77,6
